code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
NTL,1023,LTFM,LROP,,TC-LDP,26000,230.451,16:40,  17:45,1.05,  ,80,P,12345,1
NTL,1024,LROP,LTFM,,TC-LDP,25000,230.451,18:25,  19:30,1.05,  ,80,P,12345,1
NTL,1029,LTFM,LGTS,,TC-LBD,34000,266.172,6:30,  07:30,1,  ,500,P,123456,1
NTL,103,LTAC,LTFM,,TC-GRA,30000,205.14,13:00,  13:55,0.55,  ,65,P,12345,1
NTL,1030,LGTS,LTFM,,TC-LBD,33000,266.172,8:40,  09:40,1,  ,500,P,123456,1
NTL,1031,LTFM,LGTS,,TC-LDP,32000,266.172,12:15,  13:20,1.05,  ,80,P,123456,1
NTL,1032,LGTS,LTFM,,TC-LDP,33000,266.172,14:00,  15:05,1.05,  ,80,P,123456,1
NTL,1033,LTFM,LGMK,,TC-GPA,28000,279.294,12:40,  13:45,1.05,  ,100,P,12345,1
NTL,1034,LGMK,LTFM,,TC-GPA,31000,279.294,14:20,  15:25,1.05,  ,100,P,12345,1
NTL,1035,LTFM,LGIR,,TC-LDP,34000,393.765,11:30,  12:50,1.2,  ,100,P,456,1
NTL,1036,LGIR,LTFM,,TC-LDP,33000,393.765,13:20,  14:40,1.2,  ,100,P,456,1
NTL,1037,LTFM,LGAV,,TC-LDP,30000,298.747,7:15,  08:15,1,  ,120,P,12345,1
NTL,1038,LGAV,LTFM,,TC-LDP,31000,298.747,9:00, 10:15,1.15,  ,500,P, 0123456,1
NTL,1039,LTFM,LGAV,,TC-LDP,30000,298.747,18:40,  19:50,1.1,  ,120,P,12345,1
NTL,104,LTFM,LTAC,,TC-LDJ,29000,205.14,14:00,  15:00,1,  ,200,P,123456,1
NTL,1040,LGAV,LTFM,,TC-LDP,31000,298.747,20:30,  21:45,1.15,  ,500,P, 0123456,1
NTL,1041,LTFM,LGKO,,TC-GPA,36000,280.043,9:00,  10:15,1.15,  ,300,P,12345,1
NTL,1042,LGKO,LTFM,,TC-GPA,37000,280.043,11:00,  12:15,1.15,  ,300,P,12345,1
NTL,1043,LTFM,LCEN,,TC-GRA,35000,429.921,18:00,  19:35,1.35,  ,500,P,123456,1
NTL,1044,LCEN,LTFM,,TC-GRA,34000,429.921,20:35,  22:10,1.35,  ,500,P,123456,1
NTL,1045,LTFM,LGRP,,TC-LDN,38000,293.793,13:03,  14:23,1.2,  ,110,P,123456,1
NTL,1046,LGRP,LTFM,,TC-GPM,34000,293.793,15:10,  16:30,1.2,  ,110,P,123456,1
NTL,1047,LTFM,LGKR,,TC-LDL,36000,416.49,13:08,  14:33,1.25,  ,115,P,123456,1
NTL,1048,LGKR,LTFM,,TC-LDL,33000,416.49,15:13,  16:38,1.25,  ,115,P,123456,1
NTL,1049,LTFM,LCEN,,TC-GPC,35000,429.921,12:00,  13:35,1.35,  ,1000,P,1356,1
NTL,105,LTAC,LTFM,,TC-LDJ,30000,205.14,16:00,  17:00,1,  ,150,P,123456,1
NTL,1050,LCEN,LTFM,,TC-GPC,36000,429.921,14:30,  16:05,1.35,  ,1000,P,1356,1
NTL,1051,LTFM,LWSK,,TC-LDP,26000,322.825,13:20,  14:35,1.15,  ,130,P,123456,1
NTL,1052,LWSK,LTFM,,TC-LDP,33000,322.825,15:30,  16:50,1.2,  ,400,P,123456,1
NTL,1055,LTFM,LATI,,TC-LDR,34000,407.072,8:40,  10:05,1.25,  ,140,P,123456,1
NTL,1056,LATI,LTFM,,TC-LDP,35000,407.072,10:50,  12:15,1.25,  ,140,P,123456,1
NTL,1057,LTFM,LCEN,,TC-LDH,35000,429.921,5:00,  06:30,1.3,  ,200,P,123456,1
NTL,1058,LCEN,LTFM,,TC-LDS,36000,429.921,7:30,  09:00,1.3,  ,200,P,123456,1
NTL,1059,LTFM,LCEN,,TC-GPE,35000,429.921,14:00,  15:30,1.3,  ,200,P,123456,1
NTL,106,LTFM,LTAC,,TC-GPA,29000,205.14,18:00,  18:55,0.55,  ,60,P,12345,1
NTL,1060,LCEN,LTFM,,TC-GPE,34000,429.921,16:30,  18:00,1.3,  ,200,P,123456,1
NTL,1061,LTFM,LYBE,,TC-LDP,32000,427.443,8:30,  10:00,1.3,  ,140,P,12345,1
NTL,1062,LYBE,LTFM,,TC-LDP,31000,427.443,10:40,  12:10,1.3,  ,140,P,12345,1
NTL,1063,LTFM,LYBE,,TC-LDP,30000,427.443,15:15,  16:45,1.3,  ,140,P,456,1
NTL,1064,LYBE,LTFM,,TC-LDP,31000,427.443,17:30,  19:00,1.3,  ,140,P,456,1
NTL,1065,LTFM,BKPR,,TC-GLC,35000,353.453,11:30,  12:50,1.2,  ,160,P,12345,1
NTL,1066,BKPR,LTFM,,TC-GLC,35000,353.453,13:50,  15:10,1.2,  ,170,P,12345,1
NTL,1067,LTFM,LGTS,,TC-GPK,32000,266.172,10:00,  11:10,1.1,  ,500,P,123456,1
NTL,1068,LGTS,LTFM,,TC-GPK,31000,266.172,12:00,  13:10,1.1,  ,500,P,123456,1
NTL,1069,LTFM,LYTV,,TC-GPC,34000,453.667,8:00,  09:40,1.4,  ,1000,P,123456,1
NTL,107,LTAC,LTFM,,TC-GPA,30000,205.14,20:00,  20:55,0.55,  ,60,P,12345,1
NTL,1070,LYTV,LTFM,,TC-GPC,35000,453.667,11:00,  12:40,1.4,  ,1000,P,123456,1
NTL,1071,LTFM,LQSA,,TC-LDP,30000,486.213,11:10,  12:50,1.4,  ,250,P,123456,1
NTL,1072,LQSA,LTFM,,TC-LDP,33000,486.213,13:40,  15:20,1.4,  ,250,P,123456,1
NTL,1073,LTFM,LQMO,,TC-LDP,32000,499.61,12:40,  14:20,1.4,  ,140,P,56,1
NTL,1074,LQMO,LTFM,,TC-LDP,35000,499.61,15:00,  16:40,1.4,  ,140,P,56,1
NTL,1075,LTFM,LQSA,,TC-LBD,36000,486.213,16:30,  18:15,1.45,  ,400,P,123456,1
NTL,1076,LQSA,LTFM,,TC-LBD,39000,486.213,19:15,  21:00,1.45,  ,500,P,12,1
NTL,108,LTFM,LTAC,,TC-LDD,29000,205.14,4:00,  04:55,0.55,  ,60,P,12345,1
NTL,1081,LTFM,LDZA,,TC-LDP,36000,613.781,11:15,  13:10,1.55,  ,150,P,12345,1
NTL,1082,LDZA,LTFM,,TC-LDP,35000,613.781,13:50,  15:45,1.55,  ,150,P,12345,1
NTL,1083,LTFM,LDZA,,TC-LDP,34000,613.781,15:15,  17:10,1.55,  ,150,P,12345,1
NTL,1084,LDZA,LTFM,,TC-LDP,33000,613.781,17:10,  19:05,1.55,  ,120,P,12345,1
NTL,1085,LTFM,LDSP,,TC-LDP,34000,568.476,12:05,  13:55,1.5,  ,180,P,56,1
NTL,1086,LDSP,LTFM,,TC-LDP,35000,568.476,14:35,  16:25,1.5,  ,180,P,56,1
NTL,1088,LTFM,LDDU,,TC-GPI,36000,474.67,14:30,  16:30,2,  ,1000,P,123456,1
NTL,1089,LDDU,LTFM,,TC-GPI,35000,474.67,17:30,  19:30,2,  ,1000,P,123456,1
NTL,109,LTAC,LTFM,,TC-LDD,30000,205.14,6:00,  06:55,0.55,  ,60,P,12345,1
NTL,1091,LTFM,LJLJ,,TC-GPM,30000,686.964,12:15,  14:20,2.05,  ,120,P,12345,1
NTL,1092,LJLJ,LTFM,,TC-GPM,31000,686.964,15:00,  17:05,2.05,  ,0,P,12345,1
NTL,1093,LTFM,LJLJ,,TC-LDP,36000,686.964,17:50,  19:55,2.05,  ,210,P,12345,1
NTL,1094,LJLJ,LTFM,,TC-LDP,35000,686.964,20:35,  22:40,2.05,  ,210,P,12345,1
NTL,11,LTFM,KORD,,TC-LHD,35000,4749.74,7:00,  18:20,11.2,  ,900,P,12345,1
NTL,110,LTFM,LTAC,,TC-GDP,29000,205.14,9:45,  10:45,1,  ,300,P,123456,1
NTL,1101,LTFM,LUKK,,TC-LDP,32000,340.063,13:30,  14:50,1.2,  ,120,P,12345,1
NTL,1102,LUKK,LTFM,,TC-LDP,33000,340.063,15:30,  16:50,1.2,  ,120,P,12345,1
NTL,1103,LTFM,LHBP,,TC-GPA,36000,550.744,8:30,  10:15,1.45,  ,100,P,12345,1
NTL,1104,LHBP,LTFM,,TC-GPA,35000,550.744,11:00,  12:45,1.45,  ,100,P,12345,1
NTL,1105,LTFM,LHBP,,TC-GPA,36000,550.744,13:20,  15:05,1.45,  ,100,P,12345,1
NTL,1106,LHBP,LTFM,,TC-GPA,35000,550.744,15:50,  17:35,1.45,  ,100,P,12345,1
NTL,111,LTAC,LTFM,,TC-GDP,28000,205.14,12:00,  13:00,1,  ,400,P,123456,1
NTL,1111,LTFM,UKLL,,TC-GLE,38000,551.22,11:25,  13:15,1.5,  ,170,P,12345,1
NTL,1112,UKLL,LTFM,,TC-LDP,37000,551.22,13:50,  15:40,1.5,  ,210,P,12345,1
NTL,1113,LTFM,UKDE,,TC-GRA,36000,486.35,15:40,  17:40,2,  ,1000,P,123456,1
NTL,1114,UKDE,LTFM,,TC-GRA,35000,486.35,18:40,  20:40,2,  ,1000,P,123456,1
NTL,112,LTFM,LTAC,,TC-GRB,27000,205.14,6:00,  07:00,1,  ,300,P,123456,1
NTL,1121,LTFM,LZIB,,TC-LDP,34000,642.988,13:15,  15:15,2,  ,200,P,12345,1
NTL,1122,LZIB,LTFM,,TC-LDP,33000,642.988,16:00,  18:00,2,  ,200,P,12345,1
NTL,1123,LTFM,LZIB,,TC-LDP,34000,642.988,16:30,  18:30,2,  ,200,P,56,1
NTL,1124,LZIB,LTFM,,TC-LDP,33000,642.988,19:15,  21:15,2,  ,205,P,56,1
NTL,113,LTAC,LTFM,,TC-GRB,28000,205.14,8:00,  09:00,1,  ,300,P,123456,1
NTL,1131,LTFM,LOWS,,TC-LDP,36000,778.241,14:10,  16:30,2.2,  ,220,P,12345,1
NTL,1132,LOWS,LTFM,,TC-LDP,35000,778.241,17:10,  19:30,2.2,  ,100,P,12345,1
NTL,1133,LTFM,LOWW,,TC-LDP,34000,662.869,9:15,  11:15,2,  ,500,P, 0123456,1
NTL,1134,LOWW,LTFM,,TC-LDP,35000,662.869,12:00,  14:00,2,  ,500,P, 0123456,1
NTL,1135,LTFM,LOWW,,TC-LDP,34000,662.869,13:20,  15:20,2,  ,500,P, 0123456,1
NTL,1136,LOWW,LTFM,,TC-LDP,35000,662.869,16:10,  18:10,2,  ,500,P, 0123456,1
NTL,1137,LTFM,LOWW,,TC-LDP,36000,662.869,16:30,  18:30,2,  ,500,P, 0123456,1
NTL,1138,LOWW,LTFM,,TC-LDP,35000,662.869,19:15,  21:15,2,  ,500,P, 0123456,1
NTL,1139,LTFM,LOWK,,TC-LDG,36000,700.787,9:00,  11:15,2.15,  ,500,P,1356,1
NTL,114,LTFM,LTAC,,TC-GPI,27000,205.14,21:00,  22:00,1,  ,500,P,123456,1
NTL,1140,LOWK,LTFM,,TC-LDG,37000,700.787,12:00,  14:15,2.15,  ,500,P,1356,1
NTL,1141,LTFM,LOWI,,TC-LDG,36000,828.793,10:00, 12:25,2.25, ,700,P, 0123456,1
NTL,1142,LOWI,LTFM,,TC-LDG,35000,828.793,13:25, 15:50,2.25, ,700,P, 0123456,1
NTL,115,LTAC,LTFM,,TC-GPI,28000,205.14,4:30,  05:30,1,  ,500,P,123456,1
NTL,1151,LTFM,EPWA,,TC-LDP,36000,728.61,10:15,  12:25,2.1,  ,105,P,12345,1
NTL,1152,EPWA,LTFM,,TC-LDP,35000,728.61,10:15,  12:25,2.1,  ,105,P,12345,1
NTL,1153,LTFM,EPWA,,TC-LDP,36000,728.61,16:15,  18:25,2.1,  ,105,P,12345,1
NTL,1154,EPWA,LTFM,,TC-LDP,35000,728.61,19:15,  21:25,2.1,  ,105,P,12345,1
NTL,1155,LTFM,EPKK,,TC-LDP,36000,648.931,10:05,  12:05,2,  ,210,P,12345,1
NTL,1156,EPKK,LTFM,,TC-LDP,35000,648.931,12:50,  14:50,2,  ,210,P,12345,1
NTL,116,LTFM,LTAC,,TC-LDP,31000,205.14,20:00,  21:10,1.1,  ,500,P,123456,1
NTL,1161,LTFM,LKPR,,TC-LDP,36000,805.081,10:20,  12:40,2.2,  ,220,P,12345,1
NTL,1162,LKPR,LTFM,,TC-LDP,35000,805.081,13:20,  15:40,2.2,  ,220,P,12345,1
NTL,1163,LTFM,LKPR,,TC-LDP,36000,805.081,13:35,  15:55,2.2,  ,220,P,12345,1
NTL,1164,LKPR,LTFM,,TC-LDP,35000,805.081,16:40,  19:00,2.2,  ,220,P,12345,1
NTL,1169,LTFM,LICC,,TC-LDP,36000,674.307,8:00, 10:05,2.05, ,500,P, 0123456,1
NTL,117,LTAC,LTFM,,TC-LDP,32000,205.14,6:30,  07:30,1,  ,500,P,123456,1
NTL,1170,LICC,LTFM,,TC-LDP,37000,674.307,11:05, 13:10,2.05, ,500,P, 0123456,1
NTL,1171,LTFM,LIMC,,TC-LDP,36000,909.527,11:55,  14:30,2.35,  ,500,P, 0123456,1
NTL,1172,LIMC,LTFM,,TC-LDP,35000,909.527,15:10,  17:45,2.35,  ,400,P, 0123456,1
NTL,1173,LTFM,LIMC,,TC-LDP,36000,909.527,16:10,  18:45,2.35,  ,500,P, 0123456,1
NTL,1174,LIMC,LTFM,,TC-LDP,35000,909.527,19:30,  22:05,2.35,  ,500,P, 0123456,1
NTL,1175,LTFM,LIRF,,TC-LDP,36000,741.29,6:15,  08:25,2.1,  ,100,P,12345,1
NTL,1176,LIRF,LTFM,,TC-LDP,35000,741.29,9:00,  11:10,2.1,  ,100,P,12345,1
NTL,1177,LTFM,LIRF,,TC-LDP,36000,741.29,12:05,  14:15,2.1,  ,100,P,12345,1
NTL,1178,LIRF,LTFM,,TC-LDP,35000,741.29,15:00,  17:10,2.1,  ,100,P,12345,1
NTL,1179,LTFM,LIRF,,TC-LDP,36000,741.29,17:15,  19:25,2.1,  ,100,P,12345,1
NTL,1180,LIRF,LTFM,,TC-LDP,35000,741.29,20:10,  22:20,2.1,  ,100,P,12345,1
NTL,1181,LTFM,LIRN,,TC-LDP,36000,654.473,11:40,  13:40,2,  ,100,P,12356,1
NTL,1182,LIRN,LTFM,,TC-LDP,35000,654.473,14:30,  16:30,2,  ,210,P,12345,1
NTL,1183,LTFM,LICJ,,TC-LDP,36000,746.379,9:20,  11:30,2.1,  ,220,P,12345,1
NTL,1184,LICJ,LTFM,,TC-LDP,35000,746.379,12:15,  14:25,2.1,  ,220,P,12345,1
NTL,1185,LTFM,LICJ,,TC-LDP,36000,746.379,15:00,  17:10,2.1,  ,220,P,12345,1
NTL,1186,LICJ,LTFM,,TC-LDP,35000,746.379,18:00,  20:10,2.1,  ,220,P,12345,1
NTL,1187,LTFM,LMML,,TC-LDP,36000,743.747,8:30,  10:40,2.1,  ,230,P,12345,1
NTL,1188,LMML,LTFM,,TC-LDP,35000,743.747,11:30,  13:40,2.1,  ,230,P,12345,1
NTL,1189,LTFM,LMML,,TC-LDP,36000,743.747,14:10,  16:20,2.1,  ,230,P,12345,1
NTL,1190,LMML,LTFM,,TC-LDP,35000,743.747,17:00,  19:10,2.1,  ,230,P,12345,1
NTL,1191,LTFM,LSZH,,TC-LDP,36000,940.941,6:15,  09:55,3.4,  ,400,P, 0123456,1
NTL,1192,LSZH,LTFM,,TC-LDP,35000,940.941,10:40,  13:20,2.4,  ,400,P, 0123456,1
NTL,1193,LTFM,LSZH,,TC-LDP,36000,940.941,10:20,  13:00,2.4,  ,500,P, 0123456,1
NTL,1194,LSZH,LTFM,,TC-LDP,35000,940.941,13:40,  16:20,2.4,  ,400,P, 0123456,1
NTL,1195,LTFM,LSZH,,TC-LDP,36000,940.941,16:20,  19:00,2.4,  ,500,P, 0123456,1
NTL,1196,LSZH,LTFM,,TC-LDP,35000,940.941,19:40,  22:20,2.4,  ,500,P, 0123456,1
NTL,1197,LTFM,LSGG,,TC-GPJ,36000,1023.21,8:30,  11:30,3,  ,430,P, 0123456,1
NTL,1198,LSGG,LTFM,,TC-GPJ,37000,1023.21,12:00,  15:00,3,  ,420,P, 0123456,1
NTL,1199,LTFM,LSGG,,TC-GRI,34000,1023.21,14:00, 17:00,3, ,700,P, 0123456,1
NTL,12,KORD,LTFM,,TC-LHD,36000,4749.74,20:30,  07:50,11.2,  ,900,P, 0123456,1
NTL,120,LTFM,LTAI,,TC-LDB,35000,278.859,7:30,  08:35,1.05,  ,70,P, 0123456,1
NTL,1200,LSGG,LTFM,,TC-GRI,35000,1023.21,18:00, 21:00,3, ,700,P, 0123456,1
NTL,1201,LTFM,EDDM,,TC-LDP,34000,836.716,5:30,  07:55,2.25,  ,250,P, 0123456,1
NTL,1202,EDDM,LTFM,,TC-LDP,35000,836.716,8:45,  11:10,2.25,  ,250,P,12345,1
NTL,1203,LTFM,EDDM,,TC-LDP,36000,836.716,10:35,  13:00,2.25,  ,255,P, 0123456,1
NTL,1204,EDDM,LTFM,,TC-LDP,35000,836.716,13:45,  16:10,2.25,  ,255,P, 0123456,1
NTL,1205,LTFM,EDDM,,TC-LDP,36000,836.716,15:35,  18:00,2.25,  ,255,P,12345,1
NTL,1206,EDDM,LTFM,,TC-LDP,35000,836.716,18:45,  21:10,2.25,  ,255,P,12345,1
NTL,1207,LTFM,EDDN,,TC-LDP,36000,892.14,9:30,  12:05,2.35,  ,255,P,12345,1
NTL,1208,EDDN,LTFM,,TC-LDP,33000,892.14,12:50,  15:25,2.35,  ,260,P,12345,1
NTL,1209,LTFM,EDDN,,TC-LDP,36000,892.14,14:30,  17:05,2.35,  ,240,P,12345,1
NTL,121,LTAI,LTFM,,TC-LDB,36000,278.859,9:35,  10:40,1.05,  ,70,P,12345,1
NTL,1210,EDDN,LTFM,,TC-LDP,35000,892.14,17:50,  20:25,2.35,  ,100,P,12345,1
NTL,1211,LTFM,EDDP,,TC-LDP,36000,913.711,11:15,  13:50,2.35,  ,1000,P, 0123456,1
NTL,1212,EDDP,LTFM,,TC-LDP,35000,913.711,15:00, 17:35,2.35,  ,1000,P, 0123456,1
NTL,1213,LTFM,EDDS,,TC-LDP,36000,939.687,8:30,  11:10,2.4,  ,100,P,12345,1
NTL,1214,EDDS,LTFM,,TC-LDP,35000,939.687,12:00,  14:40,2.4,  ,100,P,12345,1
NTL,1215,LTFM,EDDS,,TC-LDP,36000,939.687,13:30,  16:10,2.4,  ,100,P,12345,1
NTL,1216,EDDS,LTFM,,TC-LDP,35000,939.687,17:00,  19:40,2.4,  ,100,P,12345,1
NTL,1217,LTFM,EDDS,,TC-LDP,36000,939.687,15:20,  18:00,2.4,  ,100,P,12345,1
NTL,1218,EDDS,LTFM,,TC-LDP,35000,939.687,18:45,  21:25,2.4,  ,100,P,12345,1
NTL,1219,LTFM,EDDF,,TC-LDP,36000,994.205,4:30,  7:15,2.45,  ,100,P,12345,1
NTL,122,LTFM,LTAI,,TC-GPB,35000,278.859,11:30,  12:35,1.05,  ,70,P,12345,1
NTL,1220,EDDF,LTFM,,TC-LDP,35000,994.205,8:00,  10:45,2.45,  ,100,P,12345,1
NTL,1221,LTFM,EDDF,,TC-LDP,36000,994.205,8:40,  11:25,2.45,  ,100,P,12345,1
NTL,1222,EDDF,LTFM,,TC-LDP,35000,994.205,12:05,  14:50,2.45,  ,100,P,12345,1
NTL,1223,LTFM,EDDF,,TC-LDP,36000,994.205,11:35,  14:20,2.45,  ,100,P,12345,1
NTL,1224,EDDF,LTFM,,TC-LDP,35000,994.205,15:05,  17:50,2.45,  ,100,P,12345,1
NTL,1225,LTFM,EDDF,,TC-LDP,36000,994.205,16:10,  18:55,2.45,  ,100,P,12345,1
NTL,1226,EDDF,LTFM,,TC-GTA,35000,994.205,19:30,  22:15,2.45,  ,100,P,12345,1
NTL,1227,LTFM,EDDH,,TC-LDP,36000,1058.7,9:45,  12:40,2.55,  ,100,P,12345,1
NTL,1228,EDDH,LTFM,,TC-LDP,35000,1058.7,13:30,  16:35,3.05,  ,100,P,12345,1
NTL,1229,LTFM,EDDH,,TC-LDP,36000,1058.7,11:20,  14:15,2.55,  ,100,P,12345,1
NTL,123,LTAI,LTFM,,TC-GPB,36000,278.859,13:35,  14:40,1.05,  ,70,P,12345,1
NTL,1230,EDDH,LTFM,,TC-LDP,35000,1058.7,15:00,  17:55,2.55,  ,100,P,12345,1
NTL,1231,LTFM,EDDH,,TC-GTA,36000,1058.7,15:25,  18:20,2.55,  ,100,P,12345,1
NTL,1232,EDDH,LTFM,,TC-LDP,35000,1058.7,19:05,  22:00,2.55,  ,100,P,12345,1
NTL,1233,LTFM,EDDW,,TC-LDP,36000,1073.82,10:10,  13:10,3,  ,100,P,12345,1
NTL,1234,EDDW,LTFM,,TC-LDP,35000,1073.82,14:00,  17:10,3.1,  ,100,P,12345,1
NTL,1235,LTFM,EDLW,,TC-LDP,36000,1065.34,10:20,  13:15,2.55,  ,100,P,12345,1
NTL,1236,EDLW,LTFM,,TC-LDP,35000,1065.34,14:00,  16:55,2.55,  ,100,P,12345,1
NTL,1237,LTFM,EDDL,,TC-LDP,36000,1087.17,8:30,  11:30,3,  ,1000,P,123456,1
NTL,1238,EDDL,LTFM,,TC-LDP,35000,1087.17,13:00,  16:00,3,  ,1000,P,123456,1
NTL,1239,LTFM,EDDL,,TC-LDP,36000,1087.17,16:00,  19:00,3,  ,500,P,123456,1
NTL,124,LTFM,LTAI,,TC-LEB,35000,278.859,14:30,  15:35,1.05,  ,500,P,123456,1
NTL,1240,EDDL,LTFM,,TC-LDP,35000,1087.17,21:30,  00:30,3,  ,600,P,12345,1
NTL,1241,LTFM,EDDL,,TC-LDP,36000,1087.17,5:00,  08:00,3,  ,500,P,12345,1
NTL,1242,EDDL,LTFM,,TC-LDP,35000,1087.17,9:30,  12:30,3,  ,1000,P,123456,1
NTL,1243,LTFM,EDDB,,TC-GRG,34000,912.099,4:00,  07:00,3,  ,500,P, 0123456,1
NTL,1244,EDDB,LTFM,,TC-GRG,35000,912.099,8:00,  11:00,3,  ,500,P, 0123456,1
NTL,1245,LTFM,EDDB,,TC-GNK,36000,912.099,9:00,  12:00,3,  ,500,P, 0123456,1
NTL,1246,EDDB,LTFM,,TC-GNK,39000,912.099,13:30,  16:30,3,  ,500,P, 0123456,1
NTL,1247,LTFM,EDDB,,TC-GRG,36000,912.099,13:00,  16:00,3,  ,500,P, 0123456,1
NTL,1248,EDDB,LTFM,,TC-GRG,35000,912.099,17:20,  20:20,3,  ,500,P, 0123456,1
NTL,1249,LTFM,EDDK,,TC-GPE,36000,1064.86,13:00,  16:00,3,  ,500,P, 0123456,1
NTL,125,LTAI,LTFM,,TC-LEB,36000,278.859,16:35,  17:40,1.05,  ,500,P,123456,1
NTL,1250,EDDK,LTFM,,TC-GPE,35000,1064.86,17:45,  20:45,3,  ,370,P,123456,1
NTL,1251,LTFM,EDNY,,TC-GPB,36000,907.24,11:30,  14:15,2.45,  ,350,P,123456,1
NTL,1252,EDDL,LTFM,,TC-GNG,37000,1087.17,10:20,  13:20,3,  ,300,P,12345,1
NTL,1253,LTFM,EDDL,,TC-LHE,36000,1087.17,12:30,  15:30,3,  ,700,P, 0123456,1
NTL,1254,EDDL,LTFM,,TC-LHE,39000,1087.17,16:30, 19:30,3,  ,700,P, 0123456,1
NTL,1255,LTFM,EDDB,,TC-GRB,34000,912.099,15:30,  18:20,2.5,  ,500,P, 0123456,1
NTL,1256,EDDB,LTFM,,TC-GRB,35000,912.099,19:30,  22:20,2.5,  ,500,P, 0123456,1
NTL,1257,LTFM,EDDR,,TC-GLA,36000,1027.89,11:15,  14:15,3,  ,400,P,12345,1
NTL,1258,EDDR,LTFM,,TC-GLA,37000,1027.89,15:10,  18:10,3,  ,400,P,12345,1
NTL,1259,LTFM,EDDM,,TC-GRA,36000,836.716,14:00,  16:30,2.3,  ,330,P,123456,1
NTL,126,LTFM,LTAI,,TC-GRC,35000,278.859,20:00,  21:00,1,  ,110,P,123456,1
NTL,1260,EDDM,LTFM,,TC-GRA,35000,836.716,17:30,  20:00,2.3,  ,300,P,123456,1
NTL,1261,LTFM,EBBR,,TC-LDP,36000,1157.8,10:10,  13:20,3.1,  ,1000,P,12345,1
NTL,1262,EBBR,LTFM,,TC-LDP,35000,1157.8,14:00,  17:10,3.1,  ,1000,P,12345,1
NTL,1263,LTFM,EBBR,,TC-GRG,36000,1157.8,13:40,  16:50,3.1,  ,1000,P,123456,1
NTL,1264,EBBR,LTFM,,TC-GRG,35000,1157.8,17:40,  20:50,3.1,  ,1000,P,123456,1
NTL,1265,LTFM,EDDV,,TC-GRJ,36000,1027.16,13:00,  15:50,2.5,  ,500,P,123456,1
NTL,1266,EDDV,LTFM,,TC-GRJ,37000,1027.16,17:00,  19:50,2.5,  ,500,P,123456,1
NTL,1267,LTFM,EDDK,,TC-GRE,34000,1064.86,5:00,  08:00,3,  ,500,P,123456,1
NTL,1268,EDDK,LTFM,,TC-GRE,35000,1064.86,9:00,  11:55,2.55,  ,500,P,123456,1
NTL,1269,LTFM,EDDF,,TC-GNJ,36000,994.205,7:00,  09:45,2.45,  ,500,P,123456,1
NTL,127,LTAI,LTFM,,TC-GRC,36000,278.859,22:00,  23:00,1,  ,110,P,123456,1
